,username,tweet,date_posted,expanded_tweet,highway,streets,exits,directions,locs,lanes,relocs,town
31,NJTRANSIT_MBPJ,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,2019-11-06 20:12:40+00:00,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,NJ TRANSIT,,,,,,,
32,NJTRANSIT_MOBO,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,2019-11-06 20:12:40+00:00,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,NJ TRANSIT,,,,,,,
33,511njbt,"Construction, bridge construction on George Washington Bridge westbound New York Side/Lower Level (Manhattan) to New Jersey Side/Lower Level (Fort Lee) right lane closed https://511nj.org/event/ORI214985507?602 …",2019-11-06 19:27:57+00:00,"Construction, bridge construction on George Washington Bridge westbound New York Side/Lower Level (Manhattan) to New Jersey Side/Lower Level (Fort Lee) right lane closed https://511nj.org/event/ORI214985507?602 …",George Washington Bridge,Side/Lower Level,,westbound,,right lane,,"New York, Manhattan"
34,511njbt,"Construction, bridge construction on George Washington Bridge westbound Lower Trans Manhattan Expressway (Manhattan) to New York Side/Lower Level (Manhattan) left lane closed https://511nj.org/event/ORI214985407?745 …",2019-11-06 19:26:57+00:00,"Construction, bridge construction on George Washington Bridge westbound Lower Trans Manhattan Expressway (Manhattan) to New York Side/Lower Level (Manhattan) left lane closed https://511nj.org/event/ORI214985407?745 …",George Washington Bridge,,,Lower Trans,,left lane,,"Manhattan, Manhattan"
35,NJDOT_info,"I-287 southbound 2 right lanes of 5 lanes closed at New Jersey Turnpike in Edison for emergency construction. Use caution, slow down, and expect major delays during the evening commute",2019-11-06 19:02:09+00:00,"Interstate 287 southbound 2 right lanes of 5 lanes closed at New Jersey Turnpike in Edison for emergency construction. Use caution, slow down, and expect major delays during the evening commute","Interstate 287, New Jersey Turnpike",,,southbound,,"2 right lanes, 5 lanes",,Edison
36,511nji287,"Emergency construction, emergency repairs on I-287 southbound at New Jersey Turnpike (Edison Twp) 2 right lanes of 5 lanes closed use caution https://511nj.org/event/ORI215020001?268 …",2019-11-06 18:54:56+00:00,"Emergency construction, emergency repairs on Interstate 287 southbound at New Jersey Turnpike (Edison Township ) 2 right lanes of 5 lanes closed use caution https://511nj.org/event/ORI215020001?268 …","Interstate 287, New Jersey Turnpike",,,southbound,,2 right lanes,,Edison Township
37,511nji287,Emergency construction on I-287 southbound at New Jersey Turnpike (Edison Twp) 2 right lanes of 5 lanes closed https://511nj.org/event/ORI215020001?271 …,2019-11-06 18:49:56+00:00,Emergency construction on Interstate 287 southbound at New Jersey Turnpike (Edison Township ) 2 right lanes of 5 lanes closed https://511nj.org/event/ORI215020001?271 …,"Interstate 287, New Jersey Turnpike",,,southbound,,2 right lanes,,Edison Township
38,511nji80,Crash on I-80 eastbound East of Exit 43 - I-287 (Parsippany-Troy Hills Twp) right lane closed 5 minute delay https://511nj.org/event/ORI215016701?623 …,2019-11-06 17:31:56+00:00,Crash on Interstate 80 eastbound East of Exit 43 - Interstate 287 (Parsippany-Troy Hills Township ) right lane closed 5 minute delay https://511nj.org/event/ORI215016701?623 …,Interstate 80,,Exit 43 - Interstate 287,eastbound,,right lane,East of,Parsippany-Troy Hills Township
39,511nji295,"Construction, construction on NJ 29 both directions from West Upper Ferry Rd (Ewing Twp) to NJ 175/Scenic Dr (Ewing Twp) 1 lane closed until 11:59 P.M. on November 30, 2019 https://511nj.org/event/ORI212614201?387 …",2019-11-06 17:02:57+00:00,"Construction, construction on NJ 29 both directions from West Upper Ferry Road (Ewing Township ) to NJ 175/Scenic Dr (Ewing Township ) 1 lane closed until 11:59 P.M. on November 30, 2019 https://511nj.org/event/ORI212614201?387 …","NJ 29, NJ 175/Scenic Dr",West Upper Ferry Road,,both directions,,1 lane,from,Ewing Township
40,511nji295,"Construction, construction on NJ 175 northbound ramp to southbound I-295 (Ewing Twp) exit ramp closed and detoured until 11:59 P.M. on July 29, 2020 https://511nj.org/event/ORI207356301?710 …",2019-11-06 17:02:56+00:00,"Construction, construction on NJ 175 northbound ramp to southbound Interstate 295 (Ewing Township ) exit ramp closed and detoured until 11:59 P.M. on July 29, 2020 https://511nj.org/event/ORI207356301?710 …",NJ 175,southbound Interstate 295,,northbound,,"ramp, exit ramp",,Ewing Township
41,511nji676,"Construction, construction on I-676 both directions South of Exit 5 - CR 537 (Camden) to Exit 5 - CR 537 (Camden) right shoulder closed until 11:59 P.M. on December 31, 2019 https://511nj.org/event/ORI212947001?634 …",2019-11-06 17:01:57+00:00,"Construction, construction on Interstate 676 both directions South of Exit 5 - Country Route 537 (Camden) to Exit 5 - Country Route 537 (Camden) right shoulder closed until 11:59 P.M. on December 31, 2019 https://511nj.org/event/ORI212947001?634 …",Interstate 676,,"Exit 5 - Country Route 537, Exit 5 - Country Route 537",both directions,,right shoulder,South of,"Camden, Camden"
42,511nji195,"Construction, construction on I-195 westbound at Exit 16 - CR 537/Great Adventure (Jackson Twp) right shoulder closed until 11:59 P.M. on November 15, 2019 https://511nj.org/event/ORI213338801?387 …",2019-11-06 17:01:56+00:00,"Construction, construction on Interstate 195 westbound at Exit 16 - Country Route 537/Great Adventure (Jackson Township ) right shoulder closed until 11:59 P.M. on November 15, 2019 https://511nj.org/event/ORI213338801?387 …",Interstate 195,,Exit 16 - Country Route 537/Great Adventure,westbound,,right shoulder,,Jackson Township
43,NJDOT_info,"UPDATE: Rt 35 NORTHBOUND LANES REOPENED, SOUTHBOUND LANES REMAIN CLOSED North of Rt 33 in Neptune due to a crash and downed pole and wires. Follow detour or plan alternate route.",2019-11-06 16:29:30+00:00,"UPDATE: Route 35 NORTHBOUND LANES REOPENED, SOUTHBOUND LANES REMAIN CLOSED North of Route 33 in Neptune due to a crash and downed pole and wires. Follow detour or plan alternate route.","Route 35, Route 33",,,NORTHBOUND,,"LANES, SOUTHBOUND LANES",North of,Neptune
44,511nji287,Crash on I-287 northbound South of Exit 2 - NJ 27 (Edison Twp) left lane closed 5-10 minute delay https://511nj.org/event/ORI215014801?864 …,2019-11-06 16:10:56+00:00,Crash on Interstate 287 northbound South of Exit 2 - NJ 27 (Edison Township ) left lane closed 5-10 minute delay https://511nj.org/event/ORI215014801?864 …,Interstate 287,,Exit 2 - NJ 27,northbound,,left lane,South of,Edison Township
45,511nji295,Debris spill on I-295 northbound South of Exit 52 - Columbus Rd (Florence Twp) center lane closed 5-10 minute delay use caution https://511nj.org/event/ORI215014901?264 …,2019-11-06 16:08:56+00:00,Debris spill on Interstate 295 northbound South of Exit 52 - Columbus Road (Florence Township ) center lane closed 5-10 minute delay use caution https://511nj.org/event/ORI215014901?264 …,Interstate 295,,Exit 52 - Columbus Road,northbound,,center lane,South of,Florence Township
46,511nji287,Crash on I-287 northbound South of Exit 2 - NJ 27 (Edison Twp) left lane closed 5 minute delay https://511nj.org/event/ORI215014801?972 …,2019-11-06 16:03:57+00:00,Crash on Interstate 287 northbound South of Exit 2 - NJ 27 (Edison Township ) left lane closed 5 minute delay https://511nj.org/event/ORI215014801?972 …,Interstate 287,,Exit 2 - NJ 27,northbound,,left lane,South of,Edison Township
47,NJDOT_info,Rt 35 all lanes are closed in both directions North of Rt 33 in Neptune due to a crash and downed pole and wires. Follow detour or plan alternate route.,2019-11-06 15:56:36+00:00,Route 35 all lanes are closed in both directions North of Route 33 in Neptune due to a crash and downed pole and wires. Follow detour or plan alternate route.,"Route 35, Route 33",,,,,,North of,"both, Neptune"
48,NJTRANSIT_NBUS,Bus service traveling to/from New York PABT is operating on or close to schedule following an earlier disabled independent bus in the center tube of the Lincoln Tunnel.,2019-11-06 15:53:22+00:00,Bus service traveling to/from New York PABT is operating on or close to schedule following an earlier disabled independent bus in the center tube of the Lincoln Tunnel.,,,,,,,,New York
49,511njbt,"Construction, bridge construction on George Washington Bridge eastbound New York Side/Lower Level (Manhattan) to Lower Trans Manhattan Expressway (Manhattan) right lane closed until 3:30 P.M. https://511nj.org/event/ORI215013307?901 …",2019-11-06 15:46:57+00:00,"Construction, bridge construction on George Washington Bridge eastbound New York Side/Lower Level (Manhattan) to Lower Trans Manhattan Expressway (Manhattan) right lane closed until 3:30 P.M. https://511nj.org/event/ORI215013307?901 …",George Washington Bridge,,Side/Lower Level,eastbound,,right lane,,"New York, Manhattan, Manhattan"
50,511nji295,"Construction, bridge work on US 1 Business northbound In the vicinity of Allen Ln (Lawrence Twp) left lane closed until 3:00 P.M. https://511nj.org/event/ORI215010801?908 …",2019-11-06 15:36:57+00:00,"Construction, bridge work on US-1 Business northbound In the vicinity of Allen Ln (Lawrence Township ) left lane closed until 3:00 P.M. https://511nj.org/event/ORI215010801?908 …","US-1 Business, Allen Ln",,,northbound,,"In, left lane",,Lawrence Township
51,511njtpk,Roadwork on New Jersey Turnpike - Hudson County Extension eastbound East of Interchange 14C - Toll Plaza (Jersey City) to West of Grand St (Jersey City) right lane closed until further notice https://511nj.org/event/ORI215010501?890 …,2019-11-06 15:16:57+00:00,Roadwork on New Jersey Turnpike - Hudson County Extension eastbound East of Interchange 14C - Toll Plaza (Jersey City) to West of Grand Street (Jersey City) right lane closed until further notice https://511nj.org/event/ORI215010501?890 …,"New Jersey Turnpike - Hudson County Extension, Interchange 14C - Toll Plaza",Grand Street,,eastbound,,right lane,"East of, West of","Jersey City, Jersey City"
52,NJDOT_info,"NJDOT Traffic Advisory -- Alexander Street/Road in Princeton and West Windsor to be closed and detoured starting TODAY, Wednesday, November 6 for concurrent Mercer County and NJDOT bridge projects. Read more: http://bit.ly/2NkZU64",2019-11-06 14:47:30+00:00,"NJDOT Traffic Advisory -- Alexander Street/Road in Princeton and West Windsor to be closed and detoured starting TODAY, Wednesday, November 6 for concurrent Mercer County and NJDOT bridge projects. Read more: http://bit.ly/2NkZU64",,Alexander Street/Road,,,,,,Princeton
53,511nj42,"Construction, roadwork on NJ 42 both directions South of CR 689/Cross Keys Berlin Rd (Monroe Twp) right shoulder closed until 4:00 P.M. https://511nj.org/event/ORI214991301?794 …",2019-11-06 14:02:59+00:00,"Construction, roadwork on NJ 42 both directions South of Country Route 689/Cross Keys Berlin Road (Monroe Township ) right shoulder closed until 4:00 P.M. https://511nj.org/event/ORI214991301?794 …",NJ 42,Country Route 689/Cross Keys Berlin Road,,both directions,,right shoulder,South of,Monroe Township
54,511nji80,"Construction, bridge work on I-80 westbound West of Exit 42 - US 202/Littleton Rd (Parsippany-Troy Hills Twp) right shoulder closed for repairs until 3:00 P.M. https://511nj.org/event/ORI214983901?966 …",2019-11-06 13:15:56+00:00,"Construction, bridge work on Interstate 80 westbound West of Exit 42 - US-202/Littleton Road (Parsippany-Troy Hills Township ) right shoulder closed for repairs until 3:00 P.M. https://511nj.org/event/ORI214983901?966 …",Interstate 80,,Exit 42 - US-202/Littleton Road,westbound,,right shoulder,West of,Parsippany-Troy Hills Township
55,511nji295,Crash on I-295 northbound North of Exit 52 - Columbus Rd (Mansfield Twp) right shoulder closed use caution https://511nj.org/event/ORI214981101?366 …,2019-11-06 13:08:56+00:00,Crash on Interstate 295 northbound North of Exit 52 - Columbus Road (Mansfield Township ) right shoulder closed use caution https://511nj.org/event/ORI214981101?366 …,Interstate 295,,Exit 52 - Columbus Road,northbound,,right shoulder,North of,Mansfield Township
56,511nji80,"Construction, barrier repairs on I-80 westbound ramp to southbound Exit 4 - NJ 94/US 46 (Knowlton Twp) ramp closed and detoured until 3:30 P.M. https://511nj.org/event/ORI214981601?976 …",2019-11-06 13:01:56+00:00,"Construction, barrier repairs on Interstate 80 westbound ramp to southbound Exit 4 - NJ 94/US-46 (Knowlton Township ) ramp closed and detoured until 3:30 P.M. https://511nj.org/event/ORI214981601?976 …",Interstate 80,,southbound Exit 4 - NJ 94/US-46,westbound,,ramp,,Knowlton Township
57,511nji295,Crash on I-295 northbound North of Exit 52 - Columbus Rd (Mansfield Twp) right shoulder closed use caution https://511nj.org/event/ORI214981101?215 …,2019-11-06 13:00:56+00:00,Crash on Interstate 295 northbound North of Exit 52 - Columbus Road (Mansfield Township ) right shoulder closed use caution https://511nj.org/event/ORI214981101?215 …,Interstate 295,,Exit 52 - Columbus Road,northbound,,right shoulder,North of,Mansfield Township
58,511njbt,"Construction, bridge construction on George Washington Bridge westbound New York Side/Upper Level (Manhattan) to New Jersey Side/Upper Level (Fort Lee) right lane closed until 2:30 P.M. https://511nj.org/event/ORI214980807?755 …",2019-11-06 12:55:56+00:00,"Construction, bridge construction on George Washington Bridge westbound New York Side/Upper Level (Manhattan) to New Jersey Side/Upper Level (Fort Lee) right lane closed until 2:30 P.M. https://511nj.org/event/ORI214980807?755 …","George Washington Bridge, Upper Level",,,westbound,,right lane,,"New York, Manhattan"
59,511nji295,No diesel available and No food available and No fuel available on New Jersey Turnpike northbound Woodrow Wilson Service Area (Hamilton Twp) REST AREA IS CLOSED UNTIL FURTHER NOTICE. https://511nj.org/event/ORI214955301?848 …,2019-11-06 12:51:57+00:00,No diesel available and No food available and No fuel available on New Jersey Turnpike northbound Woodrow Wilson Service Area (Hamilton Township ) REST AREA IS CLOSED UNTIL FURTHER NOTICE. https://511nj.org/event/ORI214955301?848 …,New Jersey Turnpike,,,,,,,"Woodrow Wilson Service Area, Hamilton Township"
